id,created_at,retweet_count,user_screen_name,user_followers_count,user_location,hashtags,text
967545175928009000,2018-02-24 23:42:00,0,LeonardRaymundo,1490,"Seattle, WA",[],RT @detroitnews: .@netflix is releasing a new documentary on Flint police called #FlintTown. Check out the trailer here:
967545186418151000,2018-02-24 23:42:03,0,gabrielleaff,958,,[],"RT @netflix: When Letitia Wright gets behind the wheel, you know something badass is about to happen."
967545193707856000,2018-02-24 23:42:04,1,HarryGamut,30,,[],RT @ALT1053Radio: Jared Leto &amp; Emile Hirsch are among the stars of this @netflix movie coming in March.
967545231901159000,2018-02-24 23:42:14,0,YouRuinEveryPod,174,"Minneapolis, MN",[],@Netflix depois desse final eu preciso da season 2 de Everything Sucks pra ontem pls
967545347626082000,2018-02-24 23:42:41,0,lilliankate,941,"Waterloo, Ontario",[],@MicrophoneJones @netflix ????
967545409525740000,2018-02-24 23:42:56,0,India_Emani,749,dMv,"[""SevenSeconds""]",RT @ILoveEvilEnigma: #Roswell is my favorite show. @netflix dropped the ball when they let it go &amp; @hulu picked it up. Now they have a chan?
967545420363846000,2018-02-24 23:42:58,0,SilviaDos1,1244,,"[""Los100""]",@its_willyu @netflix Where I think there is an interesting opportunity for exploration of themes in this kind of st?
967545436671234000,2018-02-24 23:43:02,1,jmaglier,2565,Buenos Aires,"[""temporada"", ""Marseille"", ""Imperdible""]",RT @its_willyu: STOP. WRITING. AROUND. US. @netflix
967545436838990000,2018-02-24 23:43:02,11,roswellback,793,,"[""BaronAndToluca""]",RT @SFXmagazine: The 25 best TV shows on @Netflix (February 2018)
967545465892954000,2018-02-24 23:43:09,7,roswellback,793,,"[""NETFLIXforBandT"", ""Roswell""]",@netflix @NetflixLAT lo peor q pudieron hacer es sacar How i met your mother necesito ver unos episodios ??
967545467218420000,2018-02-24 23:43:10,0,jakethewise97,98,,[],RT @netflix: Don't drop your Eggos. Rumors that the Duffer Bros are leaving Stranger Things after season 3 are false.
967545480501715000,2018-02-24 23:43:13,0,raisehades,45,raphael; he/him; berlin,[],Join the #SaturdayNightSciFi crew for our livetweet of #ThePrestige?? on @netflix at 10pmEST. Prepare to be amazed?
967545480925229000,2018-02-24 23:43:13,11,JYlevendis,227,Roswell New Mexico,"[""BandT"", ""NetflixForBandT""]",@ChiragMadhrani @netflix It is actually good.. Especially the 3rd epi: Drug Short
967545487606862000,2018-02-24 23:43:15,29,ChelleBen21,53,Ireland,"[""NETFLIXforBandT"",""BANDT"" ]",From award winning #Screenwriter @BenFiore59 A Pilot script for an all-new crime drama TV series project! Ben's id?
967545496599372000,2018-02-24 23:43:17,30,JYlevendis,227,Roswell New Mexico,"[""ThoughtsWhenScrollingNetflix"" ]",RT @spidadmitchell: So @netflix took @BurnNotice_USA off its website!! This really hurts me honestly! This is my favorite show and if there?
967545537997160000,2018-02-24 23:43:27,0,shackas,1572,Sydney,[],@agriff1979 @netflix But my first question was how many peope are watching? You claimed to know that correct?
967545574038954000,2018-02-24 23:43:35,11,RupinderKGill,2980,"England, United Kingdom",[],RT @spidadmitchell: #BRINGBACKBURNNOTICE @netflix
967545626182504000,2018-02-24 23:43:48,0,adspedia,12007,"Cluj Napoca, Romania",[],"RT @shadowandact: Trailer released for Roxanne Shant‚ biopic, starring Chant‚ Adams, #MahershalaAli and @NiaLong set to debut on @Netflix.?"
967545682050601000,2018-02-24 23:44:01,16,Madyishujia,92,New York,"[""DirkGently"", ""SaveDirkGently""]","RT @SamuelDeats: @Matthew_26 @netflix Haha, we are working on it super hard, 8 episodes this time!"
967545712694116000,2018-02-24 23:44:08,0,wellezumleben,120,,[],@spidadmitchell @CaseyFraleigh @netflix Literally started watching this get five episodes in and it's getting take off two days later. Fml
967545790620230000,2018-02-24 23:44:27,0,PrfctLitlBites,2296,"Frederick, MD",[],RT @_AlienAdvocates: Whatever it takes! @Netflix #NetflixforBandT Hmm.. we will help to promote it.
967545833934631000,2018-02-24 23:44:37,0,devinarnhold13,5476,Backwoods Badass,[],Damn it I miss @FamilyGuyonFOX. Why did @netflix have to remove it ??. @SethMacFarlane
967545884799009000,2018-02-24 23:44:49,0,Edges_N_Paris,750,"Paris, France",[],Everyone went BANANAS over the reboot news but why can?t we have #BARONandTOLUCA too?! The #Dans need your help .?
967545936917524000,2018-02-24 23:45:02,0,oh_JodieBaby,772,"Tulsa, OK",[],@oh_JodieBaby @SavageTV1 @LeonardRaymundo @eveirecarolina @TommyKeavy @its_willyu @netflix I love First Class and D?
967545940247708000,2018-02-24 23:45:02,0,MserRockstar,1670,anywhere everywhere right here,"[""IrreplaceableYou""]",Everyone needs to watch @Netflix Dirty Money episode about @realDonaldTrump (episode six)
967545942118461000,2018-02-24 23:45:03,6,ILoveEvilEnigma,4589,"Edgewater, FL","[""BaronAndToluca""]",#SexyIn5Words: #JakeBaron and #TolucaMendez! ?????? @netflix #NETFLIXforBandT @hulu #HULUforBandT @SYFY #SYFYforBandT?
967545975714828000,2018-02-24 23:45:11,36,AnalorenaSmile,23,Espa¤a,"[""Eldesconocido""]","RT @_AlienAdvocates: TOLUCA is amazing.She needs a best friend..Liz, Hm..What rhymes?Liz..We need @MajandraD's creativity. @netflix let's s?"
967546034518884000,2018-02-24 23:45:25,0,JerAtTheMovies,1408,Toronto,[],@coltsmith2714 @LeonardRaymundo @SavageTV1 @eveirecarolina @TommyKeavy @its_willyu @netflix They all had their mome?
967546047315829000,2018-02-24 23:45:28,0,iamkingreggie_,35,,[],"@uglydelicious I just watched the 1st episode, I ?? @azizansari &amp; @davidchang, pizza in Tokyo! @netflix is the bes?"
967546052206322000,2018-02-24 23:45:29,0,SpootNoot,42,Illinois,[],"RT @jymmeash: Y?all, go watch Crazyhead. It is definitely worth the time put into watching it. It is hilarious! @netflix"
967546058741047000,2018-02-24 23:45:31,14003,_sean_parker,97,,[],These streaming services been sleeping on the Selena movie too long heller @netflix may we get the hook-up plz
967546063648371000,2018-02-24 23:45:32,0,save_eyewitness,31,,[],@netflix WHY WOULD U TAKE FAMILY GUY OFF?
